Date,Open,High,Low,Close
5/20/2023,"26,840","27,155","26,818","27,073"
5/21/2023,"27,073","27,269","26,818","26,912"
5/22/2023,"26,912","27,090","26,552","26,856"
5/23/2023,"26,857","27,455","26,810","27,195"
5/24/2023,"27,195","27,254","26,090","26,243"
5/25/2023,"26,243","26,600","25,887","26,474"
5/26/2023,"26,474","26,939","26,341","26,778"
5/27/2023,"26,779","26,849","26,591","26,744"
5/28/2023,"26,744","27,725","26,740","27,535"
5/29/2023,"27,535","28,441","27,535","27,648"
5/30/2023,"27,648","28,046","27,574","27,854"
5/31/2023,"27,855","27,869","26,860","27,015"
6/1/2023,"27,014","27,342","26,640","26,864"
6/2/2023,"26,864","27,289","26,535","27,239"
6/3/2023,"27,247","27,331","27,050","27,108"
6/4/2023,"27,108","27,296","26,950","27,220"
6/5/2023,"27,220","27,456","25,424","25,628"
6/6/2023,"25,628","27,186","25,393","27,098"
6/7/2023,"27,095","27,377","26,269","26,490"
6/8/2023,"26,489","26,809","26,146","26,545"
6/9/2023,"26,544","26,772","26,312","26,402"
6/10/2023,"26,402","26,522","25,460","25,743"
6/11/2023,"25,761","26,106","25,668","26,045"
6/12/2023,"26,046","26,202","25,649","25,825"
6/13/2023,"25,825","26,406","25,720","25,891"
6/14/2023,"25,892","26,064","25,786","25,869"
6/15/2023,"25,868","25,870","24,790","25,430"
6/16/2023,"25,430","26,468","25,214","26,371"
6/17/2023,"26,371","26,756","26,174","26,469"
6/18/2023,"26,469","26,650","26,394","26,645"
6/19/2023,"26,645","27,032","26,259","26,669"
6/20/2023,"26,669","28,150","26,648","27,999"
6/21/2023,"27,999","30,770","27,893","30,120"
6/22/2023,"30,121","30,500","29,575","30,229"
6/23/2023,"30,228","31,412","29,823","30,903"
6/24/2023,"30,904","30,968","30,278","30,640"
6/25/2023,"30,640","31,042","30,356","30,423"
6/26/2023,"30,423","30,646","29,950","30,269"
6/27/2023,"30,260","31,008","30,126","30,679"
6/28/2023,"30,678","30,733","29,874","30,104"
6/29/2023,"30,103","30,824","29,961","30,593"
6/30/2023,"30,594","31,259","29,470","30,399"
7/1/2023,"30,399","30,640","30,324","30,614"
7/2/2023,"30,614","30,673","30,192","30,558"
7/3/2023,"30,559","31,376","30,469","31,262"
7/4/2023,"31,262","31,321","30,638","30,707"
