Date,Open,High,Low,Close,Volume
6/15/2023,248.4,258.95,247.29,255.9,"160,171,203"
6/16/2023,258.92,263.6,257.21,260.54,"167,915,594"
6/20/2023,261.5,274.75,261.12,274.45,"165,611,203"
6/21/2023,275.13,276.99,257.78,259.46,"211,797,109"
6/22/2023,250.77,265,248.25,264.61,"166,875,906"
6/23/2023,259.29,262.45,252.8,256.6,"177,460,797"
6/26/2023,250.07,258.37,240.7,241.05,"179,990,594"
6/27/2023,243.24,250.39,240.85,250.21,"164,968,188"
6/28/2023,249.7,259.88,248.89,256.24,"159,770,797"
6/29/2023,258.03,260.74,253.61,257.5,"131,283,406"
6/30/2023,260.6,264.45,259.89,261.77,"112,620,797"
7/3/2023,276.49,284.25,275.11,279.82,"118,999,000"
7/5/2023,278.82,283.85,277.6,282.48,"131,530,891"
7/6/2023,278.09,279.97,272.88,276.54,"120,707,398"
7/7/2023,278.43,280.78,273.77,274.43,"113,879,203"
7/10/2023,276.47,277.52,265.1,269.61,"119,425,398"
7/11/2023,268.65,270.9,266.37,269.79,"91,972,359"
7/12/2023,276.33,276.52,271.46,271.99,"95,672,141"
7/13/2023,274.59,279.45,270.6,277.9,"112,681,508"
7/14/2023,277.01,285.3,276.31,281.38,"120,062,398"
7/17/2023,286.63,292.23,283.57,290.38,"131,569,594"
7/18/2023,290.15,295.26,286.01,293.34,"112,434,703"
7/19/2023,296.04,299.29,289.52,291.26,"142,355,391"
7/20/2023,279.56,280.93,261.2,262.9,"175,158,297"
7/21/2023,268,268,255.8,260.02,"161,796,094"
7/24/2023,255.85,269.85,254.12,269.06,"137,004,984"
7/25/2023,272.38,272.9,265,265.28,"112,757,297"
7/26/2023,263.25,268.04,261.75,264.35,"95,856,180"
7/27/2023,268.31,269.13,255.3,255.71,"103,697,297"
7/28/2023,259.86,267.25,258.23,266.44,"111,446,000"
7/31/2023,267.48,269.08,263.78,267.43,"84,582,172"
8/1/2023,266.26,266.47,260.25,261.07,"83,645,719"
8/2/2023,255.57,259.52,250.49,254.11,"101,752,898"
8/3/2023,252.04,260.49,252,259.32,"97,829,555"
8/4/2023,260.97,264.77,253.11,253.86,"99,539,914"
8/7/2023,251.45,253.65,242.76,251.45,"111,097,906"
8/8/2023,247.45,250.92,245.01,249.7,"96,642,180"
8/9/2023,250.87,251.1,241.9,242.19,"101,596,305"
8/10/2023,245.4,251.8,243,245.34,"109,498,602"
8/11/2023,241.77,243.79,238.02,242.65,"99,038,641"
8/14/2023,235.7,240.66,233.75,239.76,"98,595,328"
8/15/2023,238.73,240.5,232.61,232.96,"88,197,602"
8/16/2023,228.02,233.97,225.38,225.6,"112,484,492"
8/17/2023,226.06,226.74,218.83,219.22,"120,718,398"
8/18/2023,214.12,217.58,212.36,215.49,"136,276,609"
8/21/2023,221.55,232.13,220.58,231.28,"135,702,703"
8/22/2023,240.25,240.82,229.55,233.19,"130,597,906"
8/23/2023,229.34,238.98,229.29,236.86,"101,077,602"
8/24/2023,238.66,238.92,228.18,230.04,"99,777,430"
8/25/2023,231.31,239,230.35,238.59,"106,612,203"
8/28/2023,242.58,244.38,235.35,238.82,"107,673,695"
8/29/2023,238.58,257.48,237.77,257.18,"134,047,594"
8/30/2023,254.2,260.51,250.59,256.9,"121,988,398"
8/31/2023,255.98,261.18,255.05,258.08,"108,861,695"
9/1/2023,257.26,259.08,242.01,245.01,"132,541,594"
9/5/2023,245,258,244.86,256.49,"129,469,602"
9/6/2023,255.14,255.39,245.06,251.92,"116,959,797"
9/7/2023,245.07,252.81,243.27,251.49,"115,312,898"
9/8/2023,251.22,256.52,246.67,248.5,"118,559,602"
9/11/2023,264.27,274.85,260.61,273.58,"174,667,906"
9/12/2023,270.76,278.39,266.6,267.48,"135,999,906"
9/13/2023,270.07,274.98,268.1,271.3,"111,673,695"
9/14/2023,271.32,276.71,270.42,276.04,"107,709,797"
9/15/2023,277.55,278.98,271,274.39,"133,692,297"
9/18/2023,271.16,271.44,263.76,265.28,"101,543,297"
9/19/2023,264.35,267.85,261.2,266.5,"103,704,000"
9/20/2023,267.04,273.93,262.46,262.59,"122,514,602"
9/21/2023,257.85,260.86,254.21,255.7,"119,951,508"
9/22/2023,257.4,257.79,244.48,244.88,"127,524,094"
9/25/2023,243.38,247.1,238.31,246.99,"104,636,602"
9/26/2023,242.98,249.55,241.66,244.12,"101,993,602"
9/27/2023,244.26,245.33,234.58,240.5,"136,597,203"
9/28/2023,240.02,247.55,238.65,246.38,"117,058,898"
9/29/2023,250,254.77,246.35,250.22,"128,522,703"
10/2/2023,244.81,254.28,242.62,251.6,"123,810,398"
10/3/2023,248.61,250.02,244.45,246.53,"101,985,297"
10/4/2023,248.14,261.86,247.6,261.16,"129,721,602"
10/5/2023,260,263.6,256.25,260.05,"119,159,203"
10/6/2023,253.98,261.65,250.65,260.53,"118,121,797"
10/9/2023,255.31,261.36,252.05,259.67,"101,377,906"
10/10/2023,257.75,268.94,257.65,263.62,"122,656,000"
10/11/2023,266.2,268.6,260.9,262.99,"103,706,305"
10/12/2023,262.92,265.41,256.63,258.87,"111,508,094"
10/13/2023,258.9,259.6,250.22,251.12,"102,296,797"
10/16/2023,250.05,255.4,248.48,253.92,"88,917,188"
10/17/2023,250.1,257.18,247.08,254.85,"93,562,914"
10/18/2023,252.7,254.63,242.08,242.68,"125,147,797"
10/19/2023,225.95,230.61,216.78,220.11,"170,772,703"
10/20/2023,217.01,218.86,210.42,211.99,"138,010,094"
10/23/2023,210,216.98,202.51,212.08,"150,683,391"
10/24/2023,216.5,222.05,214.11,216.52,"118,231,102"
10/25/2023,215.88,220.1,212.2,212.42,"107,065,102"
10/26/2023,211.32,214.8,204.88,205.76,"115,112,602"
10/27/2023,210.6,212.41,205.77,207.3,"94,881,172"
10/30/2023,209.28,210.88,194.67,197.36,"136,448,188"
10/31/2023,196.12,202.8,194.07,200.84,"118,068,305"
11/1/2023,204.04,205.99,197.85,205.66,"121,661,695"
11/2/2023,212.97,219.2,211.45,218.51,"125,987,602"
11/3/2023,221.15,226.37,218.4,219.96,"119,534,797"
11/6/2023,223.98,226.32,215,219.27,"117,335,797"
11/7/2023,219.98,223.12,215.72,222.18,"116,900,094"
11/8/2023,223.15,224.15,217.64,222.11,"106,584,797"
11/9/2023,219.75,220.8,206.68,209.98,"142,110,500"
11/10/2023,210.03,215.38,205.69,214.65,"131,310,094"
11/13/2023,215.6,225.4,211.61,223.71,"140,447,594"
11/14/2023,235.03,238.14,230.72,237.41,"149,771,594"
11/15/2023,239.29,246.7,236.45,242.84,"150,354,000"
11/16/2023,239.49,240.88,230.96,233.59,"136,816,797"
11/17/2023,232,237.39,226.54,234.3,"142,766,203"
11/20/2023,234.04,237.1,231.02,235.6,"116,562,398"
11/21/2023,235.04,243.62,233.34,241.2,"122,288,000"
11/22/2023,242.04,244.01,231.4,234.21,"118,117,102"
11/24/2023,233.75,238.75,232.33,235.45,"65,125,199"
11/27/2023,236.89,238.33,232.1,236.08,"112,031,797"
11/28/2023,236.68,247,234.01,246.72,"148,549,906"
11/29/2023,249.21,252.75,242.76,244.14,"135,401,297"
11/30/2023,245.14,245.22,236.91,240.08,"132,353,203"
